"HostOrder","Year","Discovered","VirusFamily","VRichness","VirusCumulative","yearx","mean","sd","q0.025","median","q0.975","smin","smax","cv","var","model"
"Primates",1995,2,"Adenoviridae, Papillomaviridae",27,22,66,0.372272379806595,0.10455856145206,0.207149572279452,0.356587249882401,0.601917156549311,0.145370778869467,0.930978093195314,0.280865750788121,0.0109324927729242,"1930"
"Primates",1996,1,"Nairoviridae",27,23,67,0.373765743689667,0.107293629197191,0.205536321081514,0.357013264742565,0.608759209133473,0.142558079287075,0.954354359187271,0.287061163331961,0.0115119228663044,"1930"
"Primates",1997,0,"NA",27,23,68,0.375289825830574,0.110101968763237,0.20323782040877,0.358281665039498,0.616778018701573,0.139799801088419,0.978317588305129,0.293378506916792,0.0121224435255408,"1930"
"Primates",1998,0,"NA",27,23,69,0.37684493601526,0.112982574499036,0.202510996214488,0.358850507064559,0.630525309980169,0.13709489130395,1.00288251881852,0.299811842222716,0.0127650621404303,"1930"
"Primates",1999,1,"Anelloviridae",27,24,70,0.378431391179005,0.115934606870891,0.201829316499436,0.359729368174161,0.640584038260861,0.134442317337452,1.02806425906562,0.306355681830983,0.0134408330703081,"1930"
"Primates",2000,0,"NA",27,24,71,0.380049515513731,0.118957385213993,0.200035821982865,0.360841033362233,0.649280053909284,0.131841066571847,1.05387829674535,0.313004964769374,0.0141508594969504,"1930"
"Primates",2001,1,"Hepeviridae",27,25,72,0.381699640577991,0.122050380447003,0.197494294712345,0.362288556388979,0.657806724485863,0.12929014598263,1.08034050844285,0.319755031108196,0.0148962953672581,"1930"
"Primates",2002,0,"NA",27,25,73,0.383382105409678,0.125213207888663,0.194993348250544,0.36360978523118,0.666324794906475,0.126788581758782,1.1074671693942,0.32660159700167,0.0156783474297697,"1930"
"Primates",2003,0,"NA",27,25,74,0.385097256641524,0.128445620280549,0.192527194018016,0.364119807029509,0.679155573904272,0.124335418931023,1.13527496349628,0.333540730465695,0.016498277369255,"1930"
"Primates",2004,0,"NA",27,25,75,0.386845448619431,0.131747501091525,0.190106169731592,0.36522176796417,0.68619050038729,0.121929721007248,1.16378099356795,0.340568828098415,0.0173574040438615,"1930"
"Primates",2005,0,"NA",27,25,76,0.388627043523691,0.135118858156456,0.188130145725472,0.366588663444347,0.699444953854793,0.119570569615027,1.19300279186898,0.347682592882189,0.0182571058295045,"1930"
"Primates",2006,0,"NA",27,25,77,0.390442411493151,0.138559817683322,0.186004174716087,0.367503378820147,0.709398807200314,0.117257064151013,1.22295833088297,0.354879013151861,0.0191988230764355,"1930"
