Year,NumPubs,Host,Note
1994,1,alticola argentatus,
2016,1,alticola argentatus,
2018,1,alticola argentatus,
1974,1,ammospermophilus nelsoni,
1976,1,ammospermophilus nelsoni,
1968,1,ammotragus lervia,
1970,4,ammotragus lervia,
1972,1,ammotragus lervia,
1979,2,ammotragus lervia,
1980,3,ammotragus lervia,
1981,2,ammotragus lervia,
1983,2,ammotragus lervia,
1987,1,ammotragus lervia,
1988,2,ammotragus lervia,
1990,1,ammotragus lervia,
1996,1,ammotragus lervia,
2000,4,ammotragus lervia,
2003,1,ammotragus lervia,
2004,2,ammotragus lervia,
2005,2,ammotragus lervia,
2006,4,ammotragus lervia,
2007,3,ammotragus lervia,
2008,1,ammotragus lervia,
2009,3,ammotragus lervia,
2010,1,ammotragus lervia,
2011,3,ammotragus lervia,
2012,2,ammotragus lervia,
2013,2,ammotragus lervia,
2014,1,ammotragus lervia,
2015,1,ammotragus lervia,
2016,3,ammotragus lervia,
2017,3,ammotragus lervia,
2018,3,ammotragus lervia,
2019,2,ammotragus lervia,
2020,3,ammotragus lervia,
1984,1,anoura caudifer,
1989,1,anoura caudifer,
2002,1,anoura caudifer,
2003,1,anoura caudifer,
2007,1,anoura caudifer,
2011,1,anoura caudifer,
2012,1,anoura caudifer,
2015,1,anoura caudifer,
2019,1,anoura caudifer,
1992,1,anoura geoffroyi,
1994,1,anoura geoffroyi,
1996,1,anoura geoffroyi,
2003,1,anoura geoffroyi,
2005,1,anoura geoffroyi,
2007,1,anoura geoffroyi,
2008,1,anoura geoffroyi,
2009,1,anoura geoffroyi,
2013,1,anoura geoffroyi,
2014,2,anoura geoffroyi,
2015,1,anoura geoffroyi,
2017,1,anoura geoffroyi,
2018,1,anoura geoffroyi,
2019,2,anoura geoffroyi,
2000,1,anourosorex squamipes,
2008,1,anourosorex squamipes,
2009,1,anourosorex squamipes,
2013,1,anourosorex squamipes,
2014,1,anourosorex squamipes,
2015,2,anourosorex squamipes,
2016,2,anourosorex squamipes,
2021,1,anourosorex squamipes,
2006,1,anourosorex yamashinai,
2016,1,anourosorex yamashinai,
2018,1,anourosorex yamashinai,
1971,1,antidorcas marsupialis,
1979,1,antidorcas marsupialis,
1981,1,antidorcas marsupialis,
1982,3,antidorcas marsupialis,
1983,2,antidorcas marsupialis,
1984,1,antidorcas marsupialis,
1985,1,antidorcas marsupialis,
1988,1,antidorcas marsupialis,
1992,1,antidorcas marsupialis,
1993,1,antidorcas marsupialis,
1995,2,antidorcas marsupialis,
1996,1,antidorcas marsupialis,
1997,3,antidorcas marsupialis,
1998,1,antidorcas marsupialis,
1999,1,antidorcas marsupialis,
2000,1,antidorcas marsupialis,
2001,1,antidorcas marsupialis,
2002,1,antidorcas marsupialis,
2003,1,antidorcas marsupialis,
2004,2,antidorcas marsupialis,
2005,3,antidorcas marsupialis,
2006,1,antidorcas marsupialis,
2007,6,antidorcas marsupialis,
2008,2,antidorcas marsupialis,
2009,2,antidorcas marsupialis,
2010,3,antidorcas marsupialis,
2011,2,antidorcas marsupialis,
2012,5,antidorcas marsupialis,
2013,5,antidorcas marsupialis,
2014,2,antidorcas marsupialis,
2015,7,antidorcas marsupialis,
2016,2,antidorcas marsupialis,
2017,2,antidorcas marsupialis,
2018,3,antidorcas marsupialis,
1959,1,antilocapra americana,
1968,1,antilocapra americana,
1969,1,antilocapra americana,
1970,2,antilocapra americana,
1972,3,antilocapra americana,
1974,2,antilocapra americana,
1975,2,antilocapra americana,
1976,2,antilocapra americana,
1977,5,antilocapra americana,
1979,1,antilocapra americana,
1980,2,antilocapra americana,
1981,2,antilocapra americana,
1982,1,antilocapra americana,
1983,2,antilocapra americana,
1984,1,antilocapra americana,
1985,2,antilocapra americana,
1986,2,antilocapra americana,
1987,1,antilocapra americana,
1988,1,antilocapra americana,
1989,1,antilocapra americana,
1990,2,antilocapra americana,
1991,1,antilocapra americana,
1994,2,antilocapra americana,
1995,1,antilocapra americana,
1996,2,antilocapra americana,
1997,1,antilocapra americana,
1998,1,antilocapra americana,
1999,1,antilocapra americana,
2000,1,antilocapra americana,
2001,3,antilocapra americana,
2002,2,antilocapra americana,
2003,2,antilocapra americana,
2004,1,antilocapra americana,
2005,1,antilocapra americana,
2006,4,antilocapra americana,
2007,3,antilocapra americana,
2008,4,antilocapra americana,
2010,2,antilocapra americana,
2011,1,antilocapra americana,
2012,4,antilocapra americana,
2013,2,antilocapra americana,
2014,8,antilocapra americana,
2015,4,antilocapra americana,
2016,2,antilocapra americana,
2017,2,antilocapra americana,
2018,2,antilocapra americana,
2019,1,antilocapra americana,
2020,3,antilocapra americana,
1963,1,antilope cervicapra,
1965,1,antilope cervicapra,
1966,1,antilope cervicapra,
1968,1,antilope cervicapra,
1970,1,antilope cervicapra,
1972,1,antilope cervicapra,
1973,1,antilope cervicapra,
1981,1,antilope cervicapra,
1985,1,antilope cervicapra,
1987,1,antilope cervicapra,
1988,2,antilope cervicapra,
1992,1,antilope cervicapra,
1995,1,antilope cervicapra,
