"Host","Synonym"
"mandrillus sphinx","mandrillus tessmanni"
"mandrillus sphinx","mandrillus zenkeri"
"mandrillus sphinx","mandrillus zenkeri ebolowae"
"manis javanica","manis javanica"
"manis pentadactyla","manis pentadactyla"
"marmosa demerarae","lookup fail"
"marmosa murina","marmosa murina"
"marmosa paraguayana","lookup fail"
"marmosa robinsoni","marmosa robinsoni"
"marmosets","lookup fail"
"marmosops parvidens","marmosops parvidens"
"marmota caudata","marmota caudata"
"marmota flaviventris","marmota flaviventris"
"marmota himalayana","marmota himalayana"
"marmota monax","marmota monax"
"martes americana","martes americana"
"martes americana","mustela americanus"
"martes foina","martes foina"
"martes martes","martes martes"
"martes melampus","martes melampus"
"martes pennanti","lookup fail"
"martes zibellina","martes zibellina"
"mastomys awashensis","mastomys awashensis"
"mastomys coucha","mastomys coucha"
"mastomys coucha","mus breyeri"
"mastomys coucha","mus limpopoensis"
"mastomys coucha","mus marikquensis"
"mastomys coucha","mus silaceus"
"mastomys coucha","mus socialis"
"mastomys coucha","mastomys coucha bradfieldi"
"mastomys erythroleucus","mastomys erythroleucus"
"mastomys erythroleucus","mus calopus"
"mastomys erythroleucus","epimys gambianus"
"mastomys erythroleucus","mus peregrinus"
"mastomys huberti","mastomys huberti"
"mastomys natalensis","mastomys natalensis"
"mastomys natalensis","mastomys hildebrandtii"
"mastomys natalensis","myomys fumatus"
"mastomys natalensis","mus caffer"
"mastomys natalensis","mus fumatus"
"mastomys natalensis","mus fusca"
"mastomys natalensis","mus hildebrandtii"
"mastomys natalensis","mus illovoensis"
"mastomys natalensis","mystromys longicaudatus"
"mastomys natalensis","mus microdon"
"mastomys natalensis","mus muscardinus"
"mastomys natalensis","epimys panya"
"mastomys natalensis","mus tana"
"mastomys natalensis","mus ugandae"
"mastomys natalensis","epimys coucha durumae"
"mastomys natalensis","epimys concha ismailiae"
"mastomys natalensis","mastomys coucha komatiensis"
"mastomys natalensis","epimys coucha neumanni"
"mastomys natalensis","mastomys coucha ovamboensis"
"mastomys natalensis","rattus coucha tinctus"
"mastomys natalensis","mus coucha zuluensis"
"maxomys surifer","maxomys surifer"
"maxomys surifer","mus anambae"
"maxomys surifer","mus bentincanus"
"maxomys surifer","mus carimatae"
"maxomys surifer","mus casensis"
"maxomys surifer","mus catellifer"
"maxomys surifer","mus domelicus"
"maxomys surifer","mus luteolus"
"maxomys surifer","epimys perflavus"
"maxomys surifer","epimys ravus"
"maxomys surifer","epimys saturatus"
"maxomys surifer","mus serutus"
"maxomys surifer","epimys ubecus"
"maxomys surifer","mus umbridorsum"
"maxomys surifer","rattus lingensis antucus"
"maxomys surifer","epimys surifer aoris"
"maxomys surifer","rattus lingensis banacus"
"maxomys surifer","rattus rajah bandahara"
"maxomys surifer","mus surifer binominatus"
"maxomys surifer","mus surifer butangensis"
"maxomys surifer","epimys surifer changensis"
"maxomys surifer","epimys surifer connectens"
"maxomys surifer","epimys surifer eclipsis"
"maxomys surifer","epimys surifer finis"
"maxomys surifer","mus surifer flavidulus"
"maxomys surifer","mus surifer flavigrandis"
"maxomys surifer","mus surifer grandis"
"maxomys surifer","rattus rajah koratis"
"maxomys surifer","rattus rajah kramis"
"maxomys surifer","epimys surifer kutensis"
"maxomys surifer","mus surifer leonis"
"maxomys surifer","rattus lingensis mabalus"
"maxomys surifer","epimys surifer manicalis"
"maxomys surifer","mus surifer microdon"
"maxomys surifer","rattus surifer muntia"
"maxomys surifer","rattus surifer natunae"
"maxomys surifer","epimys surifer pelagius"
"maxomys surifer","epimys surifer pemangilis"
"maxomys surifer","rattus surifer pidonis"
"maxomys surifer","rattus lingensis pinacus"
"maxomys surifer","rattus surifer puket"
"maxomys surifer","rattus rajah siarma"
"maxomys surifer","rattus surifer solaris"
"maxomys surifer","epimys surifer spurcus"
"maxomys surifer","rattus surifer telibon"
"maxomys surifer","epimys surifer tenebrosus"
"maxomys surifer","rattus rajah verbeeki"
"maxomys whiteheadi","maxomys whiteheadi"
"maxomys whiteheadi","mus asper"
"maxomys whiteheadi","mus batamanus"
"maxomys whiteheadi","epimys batus"
"maxomys whiteheadi","rattus klossi"
"maxomys whiteheadi","mus mandus"
"maxomys whiteheadi","rattus melanurus"
"maxomys whiteheadi","rattus melinogaster"
"maxomys whiteheadi","rattus whiteheadi coritzae"
"maxomys whiteheadi","epimys whiteheadi perlutus"
"maxomys whiteheadi","rattus whiteheadi piratae"
"maxomys whiteheadi","rattus whiteheadi subitus"
"mazama americana","mazama americana"
"mazama gouazoupira","lookup fail"
"mazama nana","mazama nana"
"mazama nana","mazama nana"
"megaderma lyra","lookup fail"
"megaderma spasma","megaderma spasma"
"megaderma spasma","vespertilio spasma"
"megadontomys nelsoni","megadontomys nelsoni"
"megaerops ecaudatus","megaerops ecaudatus"
"megaerops ecaudatus","pachysoma ecaudatum"
"megaerops kusnotoi","megaerops kusnotoi"
"megaerops niphanae","megaerops niphanae"
"megaloglossus woermanni","megaloglossus woermanni"
"megaptera novaeangliae","megaptera novaeangliae"
"megaptera novaeangliae","megaptera nodosa"
"megaptera novaeangliae","megaptera braziliensis"
"megaptera novaeangliae","megaptera indica"
"megaptera novaeangliae","megaptera lalandii"
"megaptera novaeangliae","megaptera longimana"
"megaptera novaeangliae","megaptera longipinna"
"megaptera novaeangliae","megaptera osphya"
"megaptera novaeangliae","megaptera versabilis"
"megaptera novaeangliae","balaena nodosa"
"megaptera novaeangliae","balaena lalandii"
"megaptera novaeangliae","balaena longimana"
"megaptera novaeangliae","balaena novaeangliae"
"megaptera novaeangliae","megaptera novaeangliae novaeangliae"
"megaptera novaeangliae","megaptera novaeangliae australis"
"megaptera novaeangliae","megaptera novaeangliae kuzira"
"melanomys caliginosus","melanomys caliginosus"
"melanomys caliginosus","oryzomys chrysomelas"
"melanomys caliginosus","oryzomys idoneus"
"melanomys caliginosus","oryzomys phaeopus"
"melanomys caliginosus","oryzomys phaeopus obscurior"
"meles leucurus","meles leucurus"
"meles leucurus","taxidea leucurus"
"meles meles","meles meles"
"meles meles","ursus meles"
"mellivora capensis","mellivora capensis"
"melogale moschata","melogale moschata"
"melomys burtoni","melomys burtoni"
"melomys burtoni","melomys australius"
"melomys burtoni","melomys callopes"
"melomys burtoni","uromys littoralis"
"melomys burtoni","uromys melicus"
"melomys burtoni","melomys mixtus"
"melomys burtoni","uromys murinus"
"melomys burtoni","melomys littoralis insulae"
"melomys burtoni","melomys cervinipes albiventer"
"melursus ursinus","melursus ursinus"
"menetes berdmorei","menetes berdmorei"
"mephitis macroura","mephitis macroura"
"mephitis mephitis","mephitis mephitis"
"meriones crassus","meriones crassus"
"meriones crassus","meriones charon"
"meriones crassus","meriones ismahelis"
"meriones crassus","meriones longifrons"
"meriones crassus","meriones pelerinus"
"meriones crassus","gerbillus swinhoei"
"meriones crassus","meriones crasssus pallidus"
"meriones crassus","meriones crassus perpallidus"
"meriones crassus","meriones pallidus tripolius"
"meriones hurrianae","meriones hurrianae"
"meriones hurrianae","cheliones hurrianae collinus"
"meriones libycus","meriones libycus"
"meriones libycus","gerbillus caucasicus"
"meriones libycus","meriones caucasius"
"meriones libycus","meriones collium"
"meriones libycus","gerbillus erythrourus"
"meriones libycus","gerbillus eversmanni"
"meriones libycus","meriones gaetulus"
"meriones libycus","gerbillus guyonii"
"meriones libycus","meriones iranensis"
"meriones libycus","meriones mariae"
"meriones libycus","meriones melanurus"
"meriones libycus","gerbillus renaultii"
"meriones libycus","gerbillus schousboeii"
"meriones libycus","meriones syrius"
"meriones libycus","gerbillus turfanensis"
"meriones libycus","meriones erythrourus aquilo"
"meriones libycus","meriones libycus caudatus"
"meriones libycus","meriones syrius edithae"
"meriones libycus","meriones syrius evelynae"
"meriones libycus","pallasiomys erythrourus marginae"
"meriones libycus","pallasiomys erythrourus maxeratis"
"meriones libycus","pallasiomys erythrourus oxianus"
"meriones libycus","pallasiomys erythrourus sogdianus"
"meriones libycus","meriones schousboei tuareg"
"meriones libycus","meriones libycus confalonierii"
"meriones meridianus","meriones meridianus"
"meriones meridianus","meriones auceps"
"meriones meridianus","gerbillus brevicaudatus"
"meriones meridianus","meriones buechneri"
"meriones meridianus","gerbillus cryptorhinus"
"meriones meridianus","meriones fulvus"
"meriones meridianus","gerbillus lepturus"
"meriones meridianus","gerbillus psammophilus"
"meriones meridianus","gerbillus roborowskii"
"meriones meridianus","gerbillus urianchaicus"
"meriones meridianus","pallasiomys meridianus heptneri"
"meriones meridianus","pallasiomys meridianus karelini"
"meriones meridianus","pallasiomys meridianus massagetes"
"meriones meridianus","gerbillus meridianus nogaiorum"
"meriones meridianus","pallasiomys meridianus penicilliger"
"meriones meridianus","pallasiomys meridianus shitkovi"
"meriones shawi","meriones shawi"
"meriones shawi","meriones albipes"
"meriones shawi","meriones auziensis"
"meriones shawi","meriones isis"
"meriones shawi","gerbillus richardii"
"meriones shawi","gerbillus savii"
"meriones shawi","gerbillus sellysii"
"meriones shawi","meriones trouessarti"
"meriones shawi","meriones shawi crassibulla"
"meriones shawi","meriones shawi laticeps"
"meriones shawi","meriones shawi longiceps"
"meriones tamariscinus","meriones tamariscinus"
"meriones tamariscinus","gerbillus ciscaucasicus"
"meriones tamariscinus","gerbillus tamaricinus jaxartensis"
"meriones tamariscinus","meriones tamaricinus kokandicus"
"meriones tamariscinus","gerbillus tamaricinus satschouensis"
"meriones unguiculatus","meriones unguiculatus"
"meriones unguiculatus","gerbillus koslovi"
"meriones unguiculatus","meriones kurauchii"
"meriones unguiculatus","meriones kurauchii chihfengensis"
"mesocricetus auratus","mesocricetus auratus"
"mesocricetus brandti","mesocricetus brandti"
"mesocricetus brandti","mesocricetus koenigi"
"mesomys hispidus","mesomys hispidus"
"mesomys hispidus","mesomys ecaudatus"
"mesomys hispidus","mesomys ferrugineus"
"mesophylla macconnelli","mesophylla macconnelli"
"mesophylla macconnelli","mesophylla macconnelli macconnelli"
"mesophylla macconnelli","mesophylla macconnelli flavescens"
"mesophylla macconnelli","ectophylla macconnelli flavescens"
"mesoplodon bidens","mesoplodon bidens"
"mesoplodon bidens","heterodon dalei"
"mesoplodon bidens","delphinus micropterus"
"mesoplodon bidens","mesoplodon sowerbensis"
"mesoplodon bidens","physeter bidens"
"mesoplodon densirostris","mesoplodon densirostris"
"mesoplodon densirostris","ziphius sechellensis"
"mesoplodon densirostris","delphinus densirostris"
"mesoplodon europaeus","mesoplodon europaeus"
"mesoplodon europaeus","mesoplodon gervaisi"
"mesoplodon europaeus","dioplodon europaeus"
"mesoplodon europaeus","dioplodon gervaisi"
"mesoplodon stejnegeri","mesoplodon stejnegeri"
"metachirus nudicaudatus","metachirus nudicaudatus"
"micaelamys namaquensis","micaelamys namaquensis"
"micaelamys namaquensis","aethomys namaquensis"
"micaelamys namaquensis","mus arborarius"
"micaelamys namaquensis","mus auricomis"
"micaelamys namaquensis","mus avarillus"
"micaelamys namaquensis","mus lehocla"
"micaelamys namaquensis","aethomys namaquensis calarius"
"micaelamys namaquensis","praomys namaquensis capensis"
"micaelamys namaquensis","mus auricomis centralis"
"micaelamys namaquensis","praomys namaquensis drakensbergi"
"micaelamys namaquensis","praomys namaquensis klaverensis"
"micaelamys namaquensis","praomys namaquensis lechochloides"
"micaelamys namaquensis","mus namaquensis monticularis"
"micaelamys namaquensis","aethomys namaquensis namibensis"
"micaelamys namaquensis","aethomys namaquensis siccatus"
"micaelamys namaquensis","aethomys namaquensis waterbergensis"
"mico argentatus","mico argentatus"
"mico argentatus","callithrix argentata"
"mico humeralifer","mico humeralifer"
"mico humeralifer","callithrix humeralifera"
"mico humeralifer","hapale santaremensis"
"mico leucippe","mico leucippe"
"mico leucippe","callithrix leucippe"
"microcebus murinus","microcebus murinus"
"microcebus murinus","chirogaleus gliroides"
"microcebus murinus","galago madagascarensis"
"microcebus murinus","prosimia minima"
"microcebus murinus","cheirogaleus minor"
"microcebus murinus","myscebus palmarum"
"microcebus murinus","lemur prehensilis"
"microcebus murinus","lemur pusillus"
"microcebus rufus","microcebus rufus"
"microcebus rufus","chirogaleus smithii"
"microgale cowani","microgale cowani"
"microgale dobsoni","microgale dobsoni"
"microgale gymnorhyncha","microgale gymnorhyncha"
"microgale jobihely","lookup fail"
"microgale longicaudata","microgale longicaudata"
"microgale majori","lookup fail"
"microgale principula","microgale principula"
"microgale taiva","microgale taiva"
"micromys minutus","micromys minutus"
"micromys minutus","micromys agilis"
"micromys minutus","mus arundinaceus"
"micromys minutus","mus arvensis"
"micromys minutus","mus avenarius"
"micromys minutus","mus campestris"
"micromys minutus","mus erythrotis"
"micromys minutus","mus meridionalis"
"micromys minutus","mus messorius"
"micromys minutus","mus minatus"
"micromys minutus","mus minimus"
"micromys minutus","mus oryzivorus"
"micromys minutus","mus parvulus"
"micromys minutus","mus pendulinus"
"micromys minutus","mus pratensis"
"micromys minutus","mus pumilus"
"micromys minutus","mus pygmaeus"
"micromys minutus","mus soricinus"
"micromys minutus","mus triticeus"
"micromys minutus","micromys minutus aokii"
"micromys minutus","mus minutus batarovi"
"micromys minutus","micromys minutus berezowskii"
"micromys minutus","micromys minutus brauneri"
"micromys minutus","mus minutus fenniae"
"micromys minutus","mus minutus flavus"
"micromys minutus","micromys minutus hondonis"
"micromys minutus","micromys minutus japonicus"
"micromys minutus","micromys minutus kytmanovi"
"micromys minutus","micromys minutus mehelyi"
"micromys minutus","mus minutus sareptae"
"micromys minutus","micromys minutus subobscurus"
"micromys minutus","micromys minutus takasagoensis"
"micromys minutus","mus minutus typicus"
"micromys minutus","mus minutus ussuricus"
"micronycteris megalotis","micronycteris megalotis"
"micronycteris megalotis","phyllophora megalotis"
"micropteropus pusillus","lookup fail"
"microtus agrestis","microtus agrestis"
"microtus agrestis","microtus arcturus"
"microtus agrestis","arvicola bailloni"
"microtus agrestis","arvicola britannicus"
"microtus agrestis","mus gregarius"
"microtus agrestis","arvicola hirta"
"microtus agrestis","lemmus insularis"
"microtus agrestis","arvicola intermedia"
"microtus agrestis","arvicola levernedii"
"microtus agrestis","microtus macgillivrayi"
"microtus agrestis","arvicola neglectus"
"microtus agrestis","arvicola rozianus"
"microtus agrestis","arvicola agrestis angustifrons"
"microtus agrestis","microtus agrestis argyropoli"
"microtus agrestis","microtus agrestis estiae"
"microtus agrestis","microtus agrestis exsul"
"microtus agrestis","microtus agrestis fiona"
"microtus agrestis","microtus agrestis insul"
"microtus agrestis","arvicola agrestis latifrons"
"microtus agrestis","microtus agrestis luch"
"microtus agrestis","microtus agrestis mial"
"microtus agrestis","microtus agrestis mongol"
"microtus agrestis","arvicola agrestis nigra"
"microtus agrestis","mus arvalis nigricans"
"microtus agrestis","microtus agrestis ognevi"
"microtus agrestis","microtus hirtus orioecus"
"microtus agrestis","microtus agrestis pannonicus"
"microtus agrestis","microtus agrestis punctus"
"microtus agrestis","arvicola agrestis rufa"
"microtus agrestis","microtus agrestis tridentinus"
"microtus agrestis","microtus agrestis wettsteini"
"microtus arvalis","microtus arvalis"
"microtus arvalis","microtus obscurus"
"microtus arvalis","arvicola arvensis"
"microtus arvalis","microtus angularis"
"microtus arvalis","microtus asturianus"
"microtus arvalis","microtus brevirostris"
"microtus arvalis","arvicola campestris"
"microtus arvalis","arvicola cunicularius"
"microtus arvalis","lemmus fulvus"
"microtus arvalis","microtus hyrcania"
"microtus arvalis","arvicola incertus"
"microtus arvalis","arvicola mystacinus"
"microtus arvalis","hypudaeus obscurus"
"microtus arvalis","microtus orcadensis"
"microtus arvalis","microtus sarnius"
"microtus arvalis","microtus terrestris"
"microtus arvalis","arvicola vulgaris"
"microtus arvalis","mus arvalis albus"
"microtus arvalis","arvicola arvalis assimilis"
"microtus arvalis","arvicola arvalis ater"
"microtus arvalis","microtus arvalis calypsus"
"microtus arvalis","microtus arvalis cimbricus"
